structures,Li volume,CSM,index
1,7.41970232,2.036107361,0.86
1,7.404340995,2.207435015,0.88
1,7.523575184,1.143649035,0.9
1,7.457277281,0.964113963,0.92
1,7.700172636,1.588324829,0.94
1,7.740328445,1.558690363,0.96
1,7.549411806,1.190384167,0.98
1,7.58939771,1.134931056,1
1,7.450175038,2.155941614,1.02
1,7.513878193,2.06524241,1.04
1,7.469415556,1.305668244,1.06
1,7.494482882,1.131307436,1.08
1,7.703318785,1.792673584,1.1
1,7.690790625,1.538632482,1.12
1,7.518507786,1.186506816,1.14
1,7.515274208,1.158823223,1.16
2,7.224578945,1.298372938,1.7
2,7.438059789,1.264881102,1.72
2,7.368406052,4.171213861,1.74
2,7.173547119,1.270313905,1.76
2,7.281896287,4.362469179,1.78
2,7.407211302,1.348414188,1.8
2,7.469349649,2.544555928,1.82
2,7.501327341,2.666579241,1.84
2,7.127972175,1.538896802,1.86
2,7.388346333,1.16057494,1.88
2,7.135030382,5.006476774,1.9
2,7.197452433,1.233111838,1.92
2,6.923854033,5.789491301,1.94
2,7.344209074,1.203270161,1.96
2,7.274209674,3.542724965,1.98
2,7.416576686,3.183451914,2
2,7.238843579,1.260341381,2.02
2,7.380230178,1.231278608,2.04
2,7.157932156,4.740115107,2.06
2,7.260371701,1.414677145,2.08
2,7.048051874,5.610138313,2.1
2,7.332984384,1.014267934,2.12
2,7.423268986,3.125875657,2.14
2,7.314706956,3.714922525,2.16
2,7.293728213,1.406306744,2.18
2,7.348420186,1.202078709,2.2
2,7.029207352,5.27631778,2.22
2,7.198178693,1.379457464,2.24
2,7.135889666,5.018958752,2.26
2,7.356811994,1.105662405,2.28
2,7.556885632,2.293927068,2.3
2,7.399457985,2.850927132,2.32
3,7.18711656,1.262055703,2.7
3,7.222259842,1.15810332,2.72
3,7.15444242,4.542581803,2.74
3,7.36399169,1.20596213,2.76
3,7.407520472,3.513209539,2.78
3,7.337176377,1.124019497,2.8
3,7.207314592,4.358743756,2.82
3,7.170469154,4.460526876,2.84
3,7.239041192,1.257395343,2.86
3,7.19527016,1.339042518,2.88
3,7.200916679,4.169204458,2.9
3,7.343529064,1.17270739,2.92
3,7.469818332,3.107203424,2.94
3,7.349336096,1.267033596,2.96
3,7.467526594,3.233173187,2.98
3,7.097063438,4.418091961,3
3,7.257877685,1.354334761,3.02
3,7.235698259,1.203213234,3.04
3,7.267132803,3.998739053,3.06
3,7.386234501,1.273980521,3.08
3,7.384225857,3.581782875,3.1
3,7.402035085,1.234352411,3.12
3,7.425974288,3.51224041,3.14
3,7.114690218,4.771678005,3.16
3,7.253717607,1.583069271,3.18
3,7.22322906,1.144423312,3.2
3,7.215514432,4.23555636,3.22
3,7.391362872,1.138812524,3.24
3,7.507200692,3.071463255,3.26
3,7.427478642,1.220807959,3.28
3,7.56761452,2.983105189,3.3
3,7.078455516,4.581248843,3.32
4,7.2033537,1.463216524,3.7
4,7.370153219,1.219559398,3.72
4,7.361663749,3.925544038,3.74
4,7.341703018,1.006542749,3.76
4,7.293495227,3.494660569,3.78
4,7.174919395,1.275901852,3.8
4,7.258606704,4.640281887,3.82
4,7.192816506,3.839900297,3.84
4,7.155634119,1.164945409,3.86
4,7.35400929,1.105563115,3.88
4,7.276604589,4.61192149,3.9
4,7.319232345,1.046307598,3.92
4,7.254124382,3.783107963,3.94
4,7.189045034,1.282182465,3.96
4,7.129120955,4.952254283,3.98
4,7.304602015,3.289218931,4
4,7.223505013,1.343437584,4.02
4,7.388650808,1.155738191,4.04
4,7.329100227,4.359884234,4.06
4,7.412880925,1.022757341,4.08
4,7.334089045,3.575596289,4.1
4,7.18663946,1.417436662,4.12
4,7.255667595,4.312454783,4.14
4,7.248852102,3.490910727,4.16
4,7.217197305,1.36462998,4.18
4,7.384802152,1.062634401,4.2
4,7.575312277,3.280651937,4.22
4,7.384484536,1.096368416,4.24
4,7.436541506,3.107244858,4.26
4,7.227333359,1.294918089,4.28
4,7.357958395,3.948306217,4.3
4,7.371899489,3.183412042,4.32
5,7.60307633,3.783802311,4.7
5,7.652978908,3.985945239,4.72
5,7.493757546,3.198130463,4.74
5,7.741813796,3.297949597,4.76
5,7.768921246,2.303459528,4.78
5,7.595502568,3.878375634,4.8
5,7.466187973,2.888899997,4.82
5,7.669802522,3.14521954,4.84
5,7.798802403,1.885499326,4.86
5,7.867833534,3.066230962,4.88
5,7.545654058,2.020102586,4.9
5,7.800071539,3.093882684,4.92
5,7.560283334,2.405255796,4.94
5,7.715174017,3.351332165,4.96
5,7.556645847,3.08618384,4.98
5,7.279697557,3.913232903,5
5,7.226943302,4.670750777,5.02
5,7.723359657,3.217184229,5.04
5,7.520901378,2.806034132,5.06
5,7.734108045,2.86036084,5.08
5,7.650466101,2.519894702,5.1
5,7.739282496,2.85451988,5.12
5,7.340151659,4.312799911,5.14
5,7.652311729,3.864330846,5.16
5,7.729847741,1.648134969,5.18
5,7.837972134,2.622934002,5.2
5,7.382111974,3.07191882,5.22
5,7.576224254,3.711047902,5.24
5,7.764358737,1.685672793,5.26
5,7.842347465,2.522943345,5.28
5,7.659620623,1.82971797,5.3
5,7.746407205,3.218969608,5.32
6,7.294798055,4.508409177,5.86
6,7.145709915,4.534098143,5.88
6,7.111334558,4.088226392,5.9
6,7.174800419,4.857914308,5.92
6,7.260634092,3.777899859,5.94
6,7.176692632,3.586147703,5.96
6,7.270143065,3.2781149,5.98
6,7.268155211,4.089982233,6
6,7.148020857,4.403377352,6.02
6,7.214234632,4.290350161,6.04
6,7.213894402,4.058473565,6.06
6,7.142819524,4.410026027,6.08
6,7.246039229,3.331781902,6.1
6,7.275717471,3.477068622,6.12
6,7.300281413,3.326157937,6.14
6,7.254008885,3.628868221,6.16
7,7.114940771,6.647256485,6.7
7,7.653450534,1.383272583,6.72
7,6.437542158,8.926198356,6.74
7,7.123842934,6.140286945,6.76
7,5.842632716,10.71882069,6.78
7,8.188316362,1.689097332,6.8
7,7.78202208,2.761213348,6.82
7,7.624512347,1.291799321,6.84
7,7.066735742,5.774073623,6.86
7,7.628394703,1.650454083,6.88
7,6.43843798,9.400743742,6.9
7,7.243605145,4.935683026,6.92
7,5.808539486,10.72208715,6.94
7,8.192736417,1.778295925,6.96
7,7.944865594,2.331691793,6.98
7,7.719481601,1.412404494,7
7,7.323877066,7.213646976,7.02
7,7.55697767,1.975401625,7.04
7,6.396206736,8.598115428,7.06
7,7.320649913,4.822027656,7.08
7,5.964635446,10.49473051,7.1
7,8.303486114,1.459761011,7.12
7,7.442690069,4.072797425,7.14
7,7.695628718,1.944366126,7.16
7,7.110238712,7.36635615,7.18
7,7.634844054,1.439066254,7.2
7,6.697946045,7.859969803,7.22
7,7.518672145,3.625719137,7.24
7,6.6265656,7.860705197,7.26
7,8.196761438,1.44800302,7.28
7,7.770660543,2.595654833,7.3
7,7.737969933,1.522394034,7.32
8,6.88441674,8.01898612,7.7
8,6.5949081,10.18351488,7.72
8,6.967080843,8.604860179,7.74
8,6.04405393,10.83402865,7.76
8,6.901555872,4.384802887,7.78
8,7.499944584,1.807139389,7.8
8,7.476918759,4.756631636,7.82
8,7.566396998,3.422795654,7.84
8,6.805602779,8.001422183,7.86
8,6.787592031,10.2712604,7.88
8,7.023152634,7.695043529,7.9
8,6.681293187,8.198767036,7.92
8,6.879344302,6.507563466,7.94
8,7.517214838,1.842040238,7.96
8,7.592266291,4.23289087,7.98
8,7.666088164,2.741631423,8
8,6.539425629,8.965520705,8.02
8,6.572273025,10.56750697,8.04
8,7.266777947,6.116124872,8.06
8,6.564759375,8.164795488,8.08
8,6.983807544,3.587803956,8.1
8,7.51520767,2.344006561,8.12
8,7.325317619,4.862831002,8.14
8,7.531281814,3.728026933,8.16
8,6.689309323,8.362389258,8.18
8,6.655408912,10.23429404,8.2
8,7.168202153,6.101149694,8.22
8,6.844562116,6.962924847,8.24
8,6.996363763,3.32227975,8.26
8,7.581392804,1.863759268,8.28
8,7.654450848,4.400570319,8.3
8,7.854291482,2.634313316,8.32
9,7.405883889,6.29961778,8.7
9,6.97095699,7.226555663,8.72
9,7.212503624,6.210581034,8.74
9,7.448049173,5.262437536,8.76
9,7.296713325,5.360863365,8.78
9,7.483491565,4.365893286,8.8
9,7.424263706,5.758079023,8.82
9,6.922569166,6.474683532,8.84
9,7.178203415,7.263541664,8.86
9,6.922587269,8.660751171,8.88
9,7.194235536,4.388043637,8.9
9,6.855984553,6.297080974,8.92
9,7.192074605,4.514518891,8.94
9,7.353720857,5.208548193,8.96
9,7.669095831,4.860169563,8.98
9,6.97397817,4.984434445,9
9,7.576816076,5.281052391,9.02
9,7.187974812,7.315590064,9.04
9,7.642432611,3.225007004,9.06
9,7.425633942,4.486727284,9.08
9,7.359971788,3.534219389,9.1
9,7.271472715,4.392902752,9.12
9,7.273280567,4.244669484,9.14
9,7.170612423,4.160761955,9.16
9,7.443999214,5.224860607,9.18
9,6.892686289,8.663035997,9.2
9,7.750990262,3.702013861,9.22
9,6.855924878,5.82621783,9.24
9,7.317948205,5.410539126,9.26
9,7.350056289,4.97292749,9.28
9,7.420668919,4.008481582,9.3
9,7.285879896,4.427151002,9.32
10,5.874981408,9.717994393,9.7
10,5.230582239,11.71467536,9.72
10,5.0855619,12.19445999,9.74
10,5.671845526,10.36944559,9.76
10,6.963140632,5.807797481,9.78
10,7.768497558,3.102216178,9.8
10,6.864479812,6.871331814,9.82
10,7.101603151,4.847266846,9.84
10,5.664126797,10.63090781,9.86
10,5.823105953,10.46187263,9.88
10,5.791221917,9.392423352,9.9
10,5.794576851,9.822816657,9.92
10,7.153535229,5.649671666,9.94
10,7.179502489,5.344777469,9.96
10,6.871356456,5.942184834,9.98
10,7.112280321,5.74637499,10
10,5.980750522,9.768865559,10.02
10,5.40686865,11.17368543,10.04
10,5.129151971,12.32431334,10.06
10,5.92481607,9.103351429,10.08
10,7.414585896,5.222748515,10.1
10,7.300531071,4.100948286,10.12
10,7.230052498,6.163046316,10.14
10,7.29211547,4.933474302,10.16
10,5.590081189,10.01819124,10.18
10,5.278713085,11.79280615,10.2
10,5.727702754,10.31398918,10.22
10,6.106624246,8.514912752,10.24
10,7.202393656,5.2463797,10.26
10,7.210213317,6.02788088,10.28
10,7.393860865,4.011159521,10.3
10,7.439176737,4.684155382,10.32
