structures,Li volume,CSM,index
1,7.623892282,1.786383976,0.7
1,7.659705319,1.220842594,0.72
1,7.639566993,1.513990951,0.74
1,7.561022104,1.503737295,0.76
1,7.586335874,1.167052877,0.78
1,7.657045373,1.425262506,0.8
1,7.539688252,1.729210343,0.82
1,7.659930725,1.543819685,0.84
1,7.617870996,1.679089554,0.86
1,7.62118389,1.299028891,0.88
1,7.668655585,1.595488205,0.9
1,7.585549869,1.547832792,0.92
1,7.612460559,1.768083785,0.94
1,7.645718873,1.213531383,0.96
1,7.564160992,1.346675864,0.98
1,7.602464559,1.235341586,1
1,7.614217867,1.372623624,1.02
1,7.624994819,1.186842472,1.04
1,7.649116744,1.54077215,1.06
1,7.629472741,1.276428009,1.08
1,7.685424137,1.411854409,1.1
1,7.617300906,1.362539226,1.12
1,7.574291635,1.477611012,1.14
1,7.547640186,1.476721609,1.16
1,7.677821298,1.597645419,1.18
1,7.670814984,1.830276058,1.2
1,7.766168905,1.354497749,1.22
1,7.559952544,1.587443752,1.24
1,7.637025053,1.240452844,1.26
1,7.674327037,1.395391993,1.28
1,7.652577984,1.518255053,1.3
1,7.676152298,1.42895169,1.32
2,7.519779583,1.354069027,1.7
2,7.504787274,1.597785416,1.72
2,7.455265628,1.406414602,1.74
2,7.545730033,1.374073903,1.76
2,7.474492187,1.554270798,1.78
2,7.481324952,1.37927405,1.8
2,7.453127264,1.46079483,1.82
2,7.425828777,1.180769495,1.84
2,7.528031795,1.467637844,1.86
2,7.44225501,1.54801201,1.88
2,7.47527796,1.638210648,1.9
2,7.538939863,1.371771862,1.92
2,7.475931856,1.268640367,1.94
2,7.531193245,1.311735405,1.96
2,7.551720402,1.345655676,1.98
2,7.466440948,1.31488554,2
2,7.668693709,1.74750098,2.02
2,7.667504209,2.187937689,2.04
2,7.688800773,2.182136464,2.06
2,7.688283464,1.787654856,2.08
2,7.653490916,1.931755165,2.1
2,7.627678358,1.936659105,2.12
2,7.669600227,2.013095187,2.14
2,7.756548359,1.734820312,2.16
2,7.670188027,1.837465443,2.18
2,7.692241657,2.032726176,2.2
2,7.614483665,2.021754464,2.22
2,7.688184197,1.905648103,2.24
2,7.681573153,1.917574628,2.26
2,7.703650793,1.95452557,2.28
2,7.686794818,2.03574085,2.3
2,7.660344386,1.882537216,2.32
3,7.51039169,2.095943679,2.7
3,7.516764931,2.417409349,2.72
3,7.475122585,2.196369004,2.74
3,7.560282186,2.059103418,2.76
3,7.516034457,2.181937019,2.78
3,7.494987275,2.444841839,2.8
3,7.562678876,2.097283149,2.82
3,7.503102552,2.298714594,2.84
3,7.560333366,2.283656694,2.86
3,7.509342093,2.138907473,2.88
3,7.565237176,2.253416784,2.9
3,7.51338411,2.170523298,2.92
3,7.495908849,2.357983352,2.94
3,7.513148258,2.304457269,2.96
3,7.415915332,2.998978727,2.98
3,7.530435746,2.546253268,3
3,7.543001637,2.094413167,3.02
3,7.546878503,2.480195035,3.04
3,7.505208713,2.399283738,3.06
3,7.506199166,2.610558633,3.08
3,7.586143093,2.267655443,3.1
3,7.471128076,2.262172727,3.12
3,7.539997832,2.308259992,3.14
3,7.463964211,2.228006675,3.16
3,7.542982439,2.626923877,3.18
3,7.555892523,2.532351676,3.2
3,7.5939395,2.616561365,3.22
3,7.387355187,2.773797531,3.24
3,7.573259845,1.939584665,3.26
3,7.441278251,2.531900946,3.28
3,7.535775296,2.046805056,3.3
3,7.510837766,2.291481104,3.32
4,7.457914939,2.511961,3.7
4,7.456478603,2.517982087,3.72
4,7.529886428,2.406577394,3.74
4,7.562154442,2.601891347,3.76
4,7.505362378,2.386664812,3.78
4,7.538840708,2.37988359,3.8
4,7.462808181,2.588896361,3.82
4,7.521919127,2.711039883,3.84
4,7.510417085,2.409494646,3.86
4,7.535531185,2.609530531,3.88
4,7.458622725,2.620015454,3.9
4,7.465949521,2.968233519,3.92
4,7.558274511,2.228899549,3.94
4,7.535068186,2.717185699,3.96
4,7.477738112,2.706675414,3.98
4,7.48165394,2.46316941,4
4,7.578479919,2.80879871,4.02
4,7.460257474,2.877090576,4.04
4,7.577066874,2.842700052,4.06
4,7.621740765,2.735200361,4.08
4,7.550209482,2.598410168,4.1
4,7.523662674,2.715313927,4.12
4,7.56747786,2.737035541,4.14
4,7.44317432,2.671930138,4.16
4,7.595424535,2.750218543,4.18
4,7.644530081,2.673492665,4.2
4,7.618186261,2.860209773,4.22
4,7.7073842,2.644875105,4.24
4,7.642582255,2.594899749,4.26
4,7.537093112,2.676210947,4.28
4,7.525815586,3.249085541,4.3
4,7.583297812,2.909722892,4.32
5,7.690729134,1.831692315,4.7
5,7.768473275,1.762953421,4.72
5,7.632513576,1.607944017,4.74
5,7.716334095,1.582582972,4.76
