structures,Li volume,CSM,index
1,7.42,2.08,0.7
1,7.58,1.63,0.72
1,7.59,1.50,0.74
1,7.54,1.69,0.76
1,7.48,1.64,0.78
1,7.57,1.38,0.8
1,7.55,1.65,0.82
1,7.56,1.59,0.84
1,7.55,1.43,0.86
1,7.45,1.95,0.88
1,7.51,1.94,0.9
1,7.50,1.65,0.92
1,7.54,1.52,0.94
1,7.52,1.61,0.96
1,7.56,1.57,0.98
1,7.52,1.77,1
1,7.60,1.44,1.02
1,7.54,1.69,1.04
1,7.52,1.61,1.06
1,7.55,1.84,1.08
1,7.52,1.78,1.1
1,7.45,1.93,1.12
1,7.44,1.82,1.14
1,7.59,1.62,1.16
1,7.62,1.64,1.18
1,7.57,1.33,1.2
1,7.57,1.69,1.22
1,7.60,1.42,1.24
1,7.53,1.67,1.26
1,7.58,1.55,1.28
1,7.58,1.51,1.3
1,7.47,1.98,1.32
2,7.51,2.46,1.86
2,7.46,2.72,1.88
2,7.56,2.38,1.9
2,7.50,2.32,1.92
2,7.34,1.15,1.94
2,7.43,1.22,1.96
2,7.41,1.18,1.98
2,7.45,1.33,2
2,7.48,2.24,2.02
2,7.52,2.33,2.04
2,7.51,2.09,2.06
2,7.38,2.70,2.08
2,7.39,1.15,2.1
2,7.45,1.35,2.12
2,7.36,1.18,2.14
2,7.36,1.21,2.16
3,7.11,4.69,2.7
3,7.52,4.01,2.72
3,7.44,3.04,2.74
3,7.46,3.59,2.76
3,7.32,4.71,2.78
3,7.54,3.05,2.8
3,7.43,4.52,2.82
3,7.60,3.79,2.84
3,7.40,3.14,2.86
3,7.50,3.73,2.88
3,7.68,2.28,2.9
3,7.25,4.66,2.92
3,7.55,3.60,2.94
3,7.69,2.45,2.96
3,7.65,4.28,2.98
3,7.59,3.61,3
3,7.25,4.15,3.02
3,7.62,3.51,3.04
3,6.99,5.80,3.06
3,7.40,3.70,3.08
3,7.58,3.96,3.1
3,7.39,3.83,3.12
3,7.57,3.84,3.14
3,7.66,4.15,3.16
3,7.31,4.00,3.18
3,7.59,3.97,3.2
3,7.38,3.77,3.22
3,7.27,3.94,3.24
3,7.72,4.06,3.26
3,7.30,4.04,3.28
3,7.57,4.18,3.3
3,7.62,3.05,3.32
4,7.79,3.17,3.7
4,7.82,3.34,3.72
4,6.43,9.27,3.74
4,7.08,6.31,3.76
4,7.31,5.22,3.78
4,7.57,4.58,3.8
4,7.61,4.63,3.82
4,7.65,3.93,3.84
4,7.21,5.31,3.86
4,7.42,4.82,3.88
4,7.61,3.20,3.9
4,7.72,3.48,3.92
4,7.18,5.90,3.94
4,7.61,3.61,3.96
4,7.50,5.17,3.98
4,7.68,3.53,4
4,8.01,3.01,4.02
4,7.73,3.80,4.04
4,7.73,3.68,4.06
4,7.41,5.18,4.08
4,6.84,6.98,4.1
4,7.30,4.69,4.12
4,7.79,3.50,4.14
4,7.58,3.71,4.16
4,7.76,2.71,4.18
4,7.62,4.37,4.2
4,7.19,5.74,4.22
4,7.67,4.27,4.24
4,7.75,3.45,4.26
4,7.72,3.58,4.28
4,7.62,4.19,4.3
4,7.16,5.16,4.32
5,7.23,5.46,4.7
5,7.58,3.78,4.72
5,7.68,2.96,4.74
5,7.68,3.84,4.76
5,7.61,3.66,4.78
5,7.74,3.13,4.8
5,7.69,3.71,4.82
5,7.62,2.88,4.84
5,7.46,3.24,4.86
5,7.59,3.78,4.88
5,7.20,5.65,4.9
5,7.52,4.23,4.92
5,7.15,5.83,4.94
5,7.51,3.75,4.96
5,7.70,3.21,4.98
5,7.51,3.76,5
5,7.39,4.58,5.02
5,7.50,4.13,5.04
5,7.42,4.73,5.06
5,7.47,3.96,5.08
5,7.47,4.16,5.1
5,7.65,3.27,5.12
5,7.58,3.04,5.14
5,7.72,3.26,5.16
5,7.65,3.76,5.18
5,7.60,3.18,5.2
5,7.88,2.90,5.22
5,7.61,3.33,5.24
5,7.42,4.42,5.26
5,7.57,3.53,5.28
5,7.73,3.12,5.3
5,7.69,2.87,5.32
6,7.40,2.73,5.7
6,7.34,3.11,5.72
6,7.40,2.81,5.74
6,7.32,2.93,5.76
6,7.47,2.43,5.78
6,7.48,2.26,5.8
6,7.36,2.77,5.82
6,7.53,2.10,5.84
6,7.39,2.51,5.86
6,7.41,2.59,5.88
6,7.34,2.81,5.9
6,7.38,2.59,5.92
6,7.42,2.35,5.94
6,7.42,2.66,5.96
6,7.31,3.09,5.98
6,7.43,2.65,6
6,7.33,3.04,6.02
6,7.43,2.51,6.04
6,7.37,3.22,6.06
6,7.41,2.78,6.08
6,7.35,2.91,6.1
6,7.38,2.78,6.12
6,7.46,2.16,6.14
6,7.37,2.91,6.16
6,7.39,2.82,6.18
6,7.44,2.70,6.2
6,7.36,2.72,6.22
6,7.37,2.74,6.24
6,7.38,2.85,6.26
6,7.35,2.39,6.28
6,7.45,2.41,6.3
6,7.41,2.88,6.32
7,7.32,3.05,6.7
7,7.25,3.56,6.72
7,7.39,2.35,6.74
7,7.31,2.84,6.76
7,7.36,2.64,6.78
7,7.40,2.74,6.8
7,7.46,2.33,6.82
7,7.42,2.69,6.84
7,7.39,2.82,6.86
7,7.40,2.72,6.88
7,7.31,2.75,6.9
7,7.44,2.72,6.92
7,7.35,2.91,6.94
7,7.40,2.58,6.96
7,7.47,2.57,6.98
7,7.36,2.35,7
7,7.48,2.18,7.02
7,7.47,2.23,7.04
7,7.23,3.23,7.06
7,7.42,2.15,7.08
7,7.39,2.55,7.1
7,7.23,3.11,7.12
7,7.36,2.76,7.14
7,7.44,2.59,7.16
7,7.43,2.53,7.18
7,7.27,2.97,7.2
7,7.41,2.34,7.22
7,7.45,2.65,7.24
7,7.38,2.56,7.26
7,7.44,2.35,7.28
7,7.43,2.54,7.3
7,7.38,2.72,7.32
8,7.74,2.27,7.7
8,7.29,2.32,7.72
8,7.70,2.34,7.74
8,7.33,2.92,7.76
8,7.56,2.80,7.78
8,7.33,2.31,7.8
8,7.75,2.24,7.82
8,7.26,2.75,7.84
8,7.71,2.30,7.86
8,7.31,2.78,7.88
8,7.71,2.20,7.9
8,7.24,2.51,7.92
8,7.66,2.38,7.94
8,7.26,2.93,7.96
8,7.65,2.59,7.98
8,7.31,2.44,8
8,7.42,3.36,8.02
8,7.28,2.65,8.04
8,7.61,2.88,8.06
8,7.28,2.99,8.08
8,7.70,2.57,8.1
8,7.17,3.03,8.12
8,7.43,3.20,8.14
8,7.35,2.58,8.16
8,7.62,2.74,8.18
8,7.31,2.43,8.2
8,7.73,2.43,8.22
8,7.37,2.70,8.24
8,7.77,2.64,8.26
8,7.38,2.70,8.28
8,7.73,2.48,8.3
8,7.22,2.93,8.32
9,7.55,4.72,8.7
9,7.88,3.09,8.72
9,7.30,4.50,8.74
9,7.62,3.39,8.76
9,7.98,2.51,8.78
9,7.75,3.15,8.8
9,7.67,3.47,8.82
9,7.97,2.41,8.84
9,7.71,3.59,8.86
9,7.73,3.67,8.88
9,7.63,5.06,8.9
9,7.85,3.82,8.92
9,8.17,1.97,8.94
9,7.52,4.84,8.96
9,7.79,3.66,8.98
9,7.77,3.37,9
9,7.75,3.01,9.02
9,7.83,3.16,9.04
9,7.78,2.77,9.06
9,7.60,3.87,9.08
9,6.90,6.35,9.1
9,7.92,2.64,9.12
9,7.80,4.25,9.14
9,7.06,6.65,9.16
9,8.13,2.44,9.18
9,7.89,3.55,9.2
9,7.46,4.94,9.22
9,7.46,5.07,9.24
9,6.82,7.21,9.26
9,7.86,3.85,9.28
9,6.91,6.69,9.3
9,7.84,3.52,9.32
10,7.09,4.43,9.86
10,7.16,3.72,9.88
10,6.96,4.60,9.9
10,7.12,3.78,9.92
10,7.05,4.45,9.94
10,7.02,4.27,9.96
10,7.02,4.76,9.98
10,7.07,3.81,10
10,7.07,4.26,10.02
10,7.07,3.92,10.04
10,6.98,4.45,10.06
10,7.06,3.93,10.08
10,7.03,4.33,10.1
10,7.09,3.76,10.12
10,7.13,4.20,10.14
10,7.11,3.68,10.16
