structures,Li volume,CSM,index
1,6.126386397,10.00513906,0.86
1,6.108502373,10.18409694,0.88
1,7.133885687,1.49494592,0.9
1,7.230230079,1.563457911,0.92
1,7.490248447,1.968603652,0.94
1,7.466951451,2.349357562,0.96
1,7.694494441,2.401757006,0.98
1,7.743754107,2.423215475,1
1,6.19109978,9.506880662,1.02
1,6.450536659,8.715544366,1.04
1,7.224370157,1.373705361,1.06
1,7.136129305,1.38507103,1.08
1,7.441082197,1.812941176,1.1
1,7.445037951,1.582185482,1.12
1,7.701179891,2.230945938,1.14
1,7.622643693,2.458176367,1.16
2,7.696324866,2.782838527,1.7
2,7.715687557,2.236220063,1.72
2,7.664415748,2.386243037,1.74
2,7.730374715,2.324071247,1.76
2,7.680238448,3.058987745,1.78
2,7.567193932,2.651814057,1.8
2,7.706481449,1.757845048,1.82
2,7.745342433,2.352216547,1.84
2,7.675986805,3.023883342,1.86
2,7.743181057,3.876693442,1.88
2,7.654273732,2.150292994,1.9
2,7.785210003,3.093446212,1.92
2,7.488369718,2.570379877,1.94
2,7.56731911,2.989306005,1.96
2,7.655286716,2.266217089,1.98
2,7.548940229,2.680867501,2
2,7.666284958,2.296768506,2.02
2,7.613305851,4.56794613,2.04
2,7.595781477,3.022229858,2.06
2,7.620923005,3.949299923,2.08
2,7.706437751,3.611797134,2.1
2,5.782026899,11.16329669,2.12
2,7.65693333,2.715135794,2.14
2,7.672581521,2.76439162,2.16
2,7.303186414,5.365244714,2.18
2,7.397720762,4.560975075,2.2
2,7.54714401,3.825854702,2.22
2,7.51183166,4.249217524,2.24
2,7.649265623,2.760005087,2.26
2,6.172724154,8.773898594,2.28
2,7.673235803,2.009480695,2.3
2,7.614040125,3.171686333,2.32
3,7.43666267,2.940675747,2.7
3,7.631395995,2.764573441,2.72
3,7.451954906,3.068771033,2.74
3,7.525040189,2.96428737,2.76
3,7.160300749,2.142415986,2.78
3,7.350199045,2.328637852,2.8
3,7.207555135,2.285258207,2.82
3,7.244503928,2.319833018,2.84
3,7.208489185,2.560043373,2.86
3,7.108399962,2.494399212,2.88
3,7.270113508,2.431096909,2.9
3,7.250673909,2.213536292,2.92
3,7.420157156,3.327671104,2.94
3,7.521271161,2.927195185,2.96
3,7.524946605,2.937539898,2.98
3,7.531981487,2.837102889,3
3,7.541457563,2.699592076,3.02
3,7.429725723,3.089539245,3.04
3,7.454779281,3.136020398,3.06
3,7.362203831,2.86978756,3.08
3,7.193613632,2.092438556,3.1
3,7.286969282,2.272942784,3.12
3,7.256577504,2.35450765,3.14
3,7.269123401,2.322522125,3.16
3,7.248513862,2.250576607,3.18
3,7.239348675,2.216321474,3.2
3,7.305934979,2.520974065,3.22
3,7.242201636,2.435894196,3.24
3,7.465957653,2.857216495,3.26
3,7.52343165,3.118299299,3.28
3,7.428913135,3.335706257,3.3
3,7.475489599,3.119889369,3.32
4,7.462108219,2.232991477,3.7
4,7.45667397,2.191086797,3.72
4,7.351001787,2.677496327,3.74
4,7.180011859,3.261139596,3.76
4,7.694367292,1.060373373,3.78
4,7.577446766,1.649301392,3.8
4,7.456361148,2.45708308,3.82
4,7.376944136,2.776867079,3.84
4,7.388778835,1.808910795,3.86
4,7.453913026,1.662364582,3.88
4,7.517271836,1.921749723,3.9
4,7.3655363,1.840942074,3.92
4,7.231945933,1.445337682,3.94
4,7.196932061,1.417154058,3.96
4,7.240767623,1.354871672,3.98
4,7.279638027,1.650701205,4
4,7.573187072,1.181447539,4.02
4,7.55987561,1.172658561,4.04
4,7.474648202,1.420672522,4.06
4,7.456053273,1.578655528,4.08
4,7.481846321,1.099709264,4.1
4,7.507617598,1.087630367,4.12
4,7.537157213,1.354724068,4.14
4,7.494449257,1.233306167,4.16
4,7.201048678,1.475529244,4.18
4,7.178542991,1.564291993,4.2
4,7.173032316,1.545947457,4.22
4,7.219487829,1.367123104,4.24
4,7.573520035,1.615302768,4.26
4,7.445798124,1.813430537,4.28
4,7.484849702,1.616685652,4.3
4,7.390668893,1.99288723,4.32
5,7.850211491,2.482103368,4.7
5,7.960472144,2.283980017,4.72
5,7.142009417,5.594500336,4.74
5,7.640196123,3.009604735,4.76
5,7.641716418,3.822416906,4.78
5,7.403207546,4.873796731,4.8
5,7.939970222,2.165054367,4.82
5,7.786239261,1.908677385,4.84
5,7.897969408,1.587991364,4.86
5,7.954187341,2.430822503,4.88
5,7.535756504,3.965425071,4.9
5,7.414301218,3.566263725,4.92
5,6.949406192,6.546091598,4.94
5,7.451554768,4.343564536,4.96
5,7.966930096,2.163571408,4.98
5,7.883786221,1.92746278,5
5,8.010763334,2.096771799,5.02
5,7.749354886,1.760401594,5.04
5,7.511716213,2.914188068,5.06
5,7.591187356,3.795575307,5.08
5,7.752292997,3.269544784,5.1
5,7.777275297,2.964359488,5.12
5,7.758979221,1.932019555,5.14
5,7.863839596,2.253958164,5.16
5,8.005958643,2.239319107,5.18
5,7.686081743,1.851353902,5.2
5,7.422539543,3.523363455,5.22
5,7.510328227,3.552684828,5.24
5,7.766929817,2.907788844,5.26
5,6.836562739,6.441138925,5.28
5,7.78088461,1.683830532,5.3
5,7.88482508,2.517316288,5.32
6,7.612406819,3.651511349,5.7
6,7.43688432,5.489764011,5.72
6,7.558325615,3.167840991,5.74
6,7.533778676,4.449936745,5.76
6,7.443303957,5.793898973,5.78
6,7.121296303,4.067346351,5.8
6,7.64777904,3.458782334,5.82
6,7.50068322,4.513704682,5.84
6,7.614441381,3.595548276,5.86
6,6.888025788,6.244557241,5.88
6,7.572900494,4.394222117,5.9
6,7.658458418,2.949093423,5.92
6,7.345306074,3.972748045,5.94
6,7.259940306,4.621052417,5.96
6,7.416677378,3.506108248,5.98
6,7.865597204,2.61112148,6
6,7.559835341,2.717921999,6.02
6,7.611687283,2.987850529,6.04
6,7.666523354,2.337928735,6.06
6,7.703507198,2.541559176,6.08
6,7.523652006,3.569072233,6.1
6,7.443315825,1.827176058,6.12
6,7.484729716,2.948395304,6.14
6,7.751828475,2.987719453,6.16
6,7.176149876,2.871654196,6.18
6,7.913830555,2.945376473,6.2
6,8.022681519,2.550770545,6.22
6,7.701182625,3.380928719,6.24
6,7.645119846,2.476145899,6.26
6,7.79370782,3.426162525,6.28
6,7.619724336,3.099244211,6.3
6,7.621171708,3.207089382,6.32
7,7.272390052,2.140920834,6.7
7,7.393177343,2.528327935,6.72
7,7.387609179,2.177884579,6.74
7,7.299215006,2.268330864,6.76
7,7.300582618,2.284863137,6.78
7,7.408467194,2.250136061,6.8
7,7.394693536,2.283769741,6.82
7,7.376858649,2.119245088,6.84
7,7.881039199,2.038593299,6.86
7,7.882186182,2.111317948,6.88
7,7.812200815,2.156176253,6.9
7,7.863705517,1.988749074,6.92
7,7.817432994,2.219397491,6.94
7,7.870765508,1.752791518,6.96
7,7.857845394,2.392098412,6.98
7,7.799940533,2.09517703,7
7,7.51140129,2.137214077,7.02
7,7.506970049,1.942548498,7.04
7,7.51064947,2.016426361,7.06
7,7.509929817,2.024908375,7.08
7,7.54554568,2.120332009,7.1
7,7.645868161,1.750696031,7.12
7,7.518348324,2.110208479,7.14
7,7.554067013,2.171014486,7.16
7,7.703731654,2.3219726,7.18
7,7.836183877,2.21315128,7.2
7,7.832888066,2.055911853,7.22
7,7.792541855,1.999221209,7.24
7,7.813900849,2.000108932,7.26
7,7.805325741,1.931432789,7.28
7,7.838157299,2.364913436,7.3
7,7.85251167,1.961433983,7.32
8,7.251762663,1.455541438,7.85
8,7.204599547,1.222815071,7.9
8,7.692767635,1.932316116,7.95
8,7.611626001,1.989686927,8
8,7.09925679,4.602178705,8.05
8,7.178476274,4.568918539,8.1
8,5.381576862,11.53423995,8.15
8,5.395857087,11.45820308,8.2
9,5.38579794,11.31022973,8.7
9,5.53104528,10.48569044,8.72
9,5.703165176,9.630670973,8.74
9,5.462661237,11.02819644,8.76
9,5.063321439,13.31795356,8.78
9,5.031786138,13.27331879,8.8
9,4.613720759,14.88573385,8.82
9,5.299923436,12.34451261,8.84
9,5.157785499,12.88317854,8.86
9,4.795521109,14.07952757,8.88
9,5.651208043,10.72709483,8.9
9,4.827403899,14.32230391,8.92
9,5.589214714,10.44811995,8.94
9,5.185378229,12.25902672,8.96
9,5.713132136,9.878549645,8.98
9,5.196253322,12.10011326,9
9,4.910470262,13.42884884,9.02
9,5.203871892,12.16316667,9.04
9,5.119360834,12.30656666,9.06
9,5.143282655,12.07762517,9.08
9,4.591461029,15.13172951,9.1
9,5.107971242,12.5637376,9.12
9,5.049395795,13.25619865,9.14
9,5.113614414,13.09114802,9.16
9,4.815645133,14.21610237,9.18
9,4.423378482,15.77119395,9.2
9,5.218673234,12.2468608,9.22
9,4.973200475,13.50050935,9.24
